Numero Ticket;Tipo de caso;Categoria;Tipo;Item;Resumen;Matri;Ubicacion;Numero Telefonico;Indicador Vip;Region;Service Desk;Modo de reporte;Estado;Fecha Creacion;Fecha Termino;Fecha Cierre;Prioridad;Grupos asignado;Grupo creador
WO0000004555593;R;MOBILIARIO;EQUIPO;CONTADOR DE BILLETES;REPARAR;S18063;MEGA PLAZA 2 - 191040;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-23;2022-10-25;2022-10-25;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004556491;R;MOBILIARIO;EQUIPO;CONTADOR DE MONEDAS;REPARAR;S49767;ZARATE - 191097;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-23;2022-10-28;2022-10-28;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004555838;R;MOBILIARIO;EQUIPO;CONTADOR DE MONEDAS;REPARAR;S09528;URB SAN FELIPE COMAS - 191053;###;1;NULL;Zona Centro;Web HD;Rechazado;2022-10-23;2022-10-24;;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004555920;R;MOBILIARIO;EQUIPO;AIRE ACONDICIONADO;REPARAR;U21826;C.C. MULTIPLAZA - 191077;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-23;2022-11-04;2022-11-04;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004557432;R;MOBILIARIO;DISP. DE SEGURIDAD;SENSOR DE PARED;REPARAR;S40738;PARCONA - 380007;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-23;2022-10-30;2022-10-30;3;MANTENIMIENTO PROV 2 - SUR CHICO;HELPDESK OPERADORES
WO0000004557349;R;MOBILIARIO;MOBILIARIO;BUTACA;REPARAR;NULL;SANTA ANITA - 191052;##;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-23;2022-10-29;2022-10-29;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004557038;R;MOBILIARIO;MOBILIARIO;CREDENZA;REPARAR;NULL;AREQUIPA - 215000;##;1;NULL;Zona Norte;Web HD;Cerrado;2022-10-23;2022-10-24;2022-10-24;3;MANTENIMIENTO PROV 2 - SUR;HELPDESK OPERADORES
WO0000004556861;R;MOBILIARIO;MOBILIARIO;PALOMAR;REPARAR;NULL;PLAZA LIMA NORTE - 191058;##;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-23;2022-10-24;2022-10-24;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004555341;R;MOBILIARIO;DISP. DE SEGURIDAD;PULSADOR DE ASALTO;REPARAR;NULL;LUREN - 380004;##;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-23;2022-10-25;2022-10-25;3;MANTENIMIENTO PROV 2 - SUR CHICO;HELPDESK OPERADORES
WO0000004556942;R;MOBILIARIO;MOBILIARIO;CAJONERA;REPARAR;NULL;MALA - 255002;##;1;NULL;Zona Centro;Web HD;Terminado;2022-10-23;2022-11-11;;3;MANTENIMIENTO PROV 2 - SUR CHICO;HELPDESK OPERADORES
WO0000004557383;R;MOBILIARIO;MOBILIARIO;SILLAS;REPARAR;S40738;PARCONA - 380007;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-23;2022-11-04;2022-11-04;3;MANTENIMIENTO PROV 2 - SUR CHICO;HELPDESK OPERADORES
WO0000004555609;R;MOBILIARIO;MOBILIARIO;CAJONERA;REPARAR;S18063;MEGA PLAZA 2 - 191040;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-23;2022-10-24;2022-10-24;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004556858;R;MOBILIARIO;EDIFICIO;ESCALERA CINTA ANTIDESLIZANTE;REPONER;S47665;LOS DAMASCOS - 193038;###;1;NULL;Zona Centro;Web HD;Terminado;2022-10-23;2022-11-08;;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
